whiskers',1
baby:,1
upright,3
dull',1
fall,18
soles,1
arguing,1
something',1
child',4
askance,1
girl,6
licking,2
magpie,1
edgar,1
'poor,1
few,16
opportunity,10
easy:,2
quicker,1
out:,3
absence,1
leap,1
plaster,2
time',8
repainted,1
are',2
finding,5
chicken,2
heres,4
sobbing',1
rabbit:,1
'what's,3
be',7
denied,2
alive,7
gallons,1
wasnt,12
itll,11
broiling,1
weve,7
'begin,1
'till,2
fellows,1
croquet-ground,3
execution,2
fury:,1
sell',1
fond,7
haunts,1
liked,8
'shan't',1
[youre,1
mixed,2
lessons:,1
bed,2
'because,3
'thinking,1
unhappy,5
[she,1
holding,11
rattle,7
'in,8
australia',1
'can't,1
hearth-rugs,1
stairs',1
it's,33
twice,10
carrier',1
overheard,1
crowds,1
louder,2
glasses,3
france,1
brandishing,1
say,98
messengers,4
present',1
thousand,9
cakes,3
nearer,6
tarts,7
'nothing',1
currants,1
hadn't,7
fastened,3
impatiently:,2
plan',2
imagine,2
course,53
arrived:,1
shiver,1
fits,1
slates,7
ever:,1
'the,21
annoyed,1
spoon,1
sal-volatile,1
was,706
doubtfully:,2
lory,7
luckily,3
choice,2
return,3
remedies,1
growled,4
ditto,3
gardeners,8
eight,2
perplexity,1
table:,1
rushes,10
sharp,9
wonder,30
cravat,3
seat,1
'seven,1
rock,2
didn't,11
_i_,20
spot',1
clutched,1
caterpillar,27
'soles,1
'an,1
chance,7
don't',1
drowned,2
grinning,2
curious,25
skipping,1
wax-works,2
prettiest,1
unicorns,1
wilderness,1
ii,2
consented,1
went,171
gust,1
pushed,2
see,146
young,10
cheaper,1
fig',1
elephants,2
toves,5
darted,1
snail,3
sulky,6
upside-down,2
'dear,1
would',1
one,238
thought:,6
corrected,3
dinah,19
dreamily,2
writing-desks,1
mouths,4
frontispiece,1
now,118
bee:,1
ink,5
before',4
sorts,5
mostly,3
heavy,8
eat,20
grief,1
piece,10
pie,3
'will,1
smiled,8
waste,1
honour,3
hiss,1
acres,1
fluttered,1
tunes,1
shun,1
careless,3
repeat,12
talking,32
'reeling,1
club,1
moment,70
gloves,10
chapter,24
survey,1
choosing,3
released,1
kissing,1
curls,1
thats,45
declare,6
twinkle,7
moment:,1
golden,9
clear,6
make,78
grander,1
twinkled,1
foe,1
oyster',1
measure,1
end,31
flying,6
puzzling,6
fish-footman,2
couple',1
tweedle,2
hippopotamus,2
new-found,1
faults,3
closed,2
might,50
rat-hole:,1
plum-pudding,2
condemn,1
grant,1
they're,10
places',1
'serpent,1
bolster,1
managed,13
ashes,5
three',1
trial:,1
scolded,1
edges,1
mouse-traps,1
magic,1
backwards,4
mustard,2
cant,38
depends,1
knelt,1
escape,3
hurriedly,2
remembers,1
sceptre,1
travelling,1
youth',3
beautiful,18
spring,1
dazzled,1
mary,3
curtseying,1
house',1
promise,1
brooch,4
soldier,2
voice:,4
authority,2
thunder,3
easily,8
maybe,2
touching,3
eighty-seven,1
crawled,2
',70
applause,1
win,2
verse',3
poems,1
fro,1
'jury-men',1
short,8
mercia,2
alternately,1
stops,1
contradicting,1
beginning,28
gate,4
thou,1
involved,1
anywhere,1
reasonable,2
patting,1
eel,2
poison,1
model,1
answer,30
children,12
line,2
uncommon,1
alarm:,1
entirely,5
worry,1
cool,3
trotted,2
works',1
knew,22
friendly,1
fair,3
banquet,1
ordered,3
closer,2
bounding,1
beyond,4
archbishop,2
shrieks,2
come,80
'everybody,2
horror,1
punish,2
ugly,3
treacle-well,1
'does,2
baby,13
hasn't,2
nodded,2
believe',1
wait,10
stuff',1
stays,1
ornamented,2
persisted,2
picking,2
mattered,1
dreamed,3
listeners,1
yours,3
directly,7
ful,1
nose,11
family,1
mice,8
fountains,2
childrens,1
audibly,1
confess,3
pricked,3
repeating,7
sleeping,1
comparison,1
reminds,2
get,95
jury-box',1
addressing,4
wondering,12
thank,8
knife,6
'which,4
allowed,1
killed,1
pinned,2
affair,1
heard,40
blazing,1
fellow,2
pass,3
'ugh',1
puffing,1
pretence,1
guinea-pig,2
dormouse',3
speed,2
rattling,2
excited,2
mournful,1
laugh,6
inwards,1
black,5
ysmim,1
raisin,1
not,217
yawned,2
uncertain,1
harm,2
knees,4
bounded,1
arches,4
shoulder,10
ribbon,2
read:,1
seventh,1
part,8
when,154
theres,29
growling',1
your,131
disappointment,1
table-cloths,1
around,3
flowers,10
sentence,8
wonderful,2
promising,1
deal:,1
rabbit-hole,4
showing,2
ordered',1
'give,3
ladle,1
crouched,1
clearly',1
days,8
stick,6
entrance,1
provoked,1
executed,5
languid,1
roofs,1
treacle-well',1
frying-pan,1
savage',1
ancient,1
ourselves,1
hungry,5
walk,12
shake,8
ann',1
arms,18
panted,7
hundred,8
railway,3
stupid',1
began,99
sharper,1
fat,4
flat,5
knowing,4
weren't,1
sir',2
rowing,1
thirst,1
middle,15
begged,1
night,9
these,20
tremble,1
curiosity,10
lawn,1
shiny',1
my,131
punishment,1
weeds,1
asleep,11
true,3
found,47
protection,1
birthdays,1
underneath,1
tops,1
shouldnt,13
scale,1
farther,2
dodo,13
centre,1
present,6
atheling,1
cattle,1
she'll,3
ahoy,4
attended,2
locks,2
letters,2
beach:,1
height,5
beware,2
passengers,1
chess,2
turn,25
corners,1
'you've,1
standing,6
further:,1
linked,1
sure,41
'turn,2
directions:,1
sitting,26
coal-scuttles,1
dreadfully,8
footman,10
dreamy,1
remember',2
dahlia,1
toe,1
swim,4
recovered,5
high,16
morning',1
long,70
beetle,2
bit,23
'let's,2
volcano,2
'unimportant',1
fourth',1
tut,1
floor:,1
seldom,1
shant,2
feebly,2
wide,6
dipping,1
right,43
up',5
begun',1
bats',1
sell,5
fact',1
work-box,1
month,2
any',1
shutting,3
drums,2
luggage,1
frighten,1
tonight,1
arrow,1
company,1
alices,21
washed,4
threes,1
used,18
careful,1
[later,2
guinea-pigs',1
sob,1
