pale,6
wine,5
imitate,1
bundled,1
wits,1
sorrow,2
frabjous,1
reading,3
conclusion,2
fixed,3
generally,14
thank,11
leap,1
painting,2
unable,2
tastes,1
who,93
steam,3
prosecute,1
wax,4
dinners,1
quarrelled,1
nurse,5
real,13
crow,5
warmer,2
think,105
directions,7
creature,12
moving,6
shells,1
tease,2
knowing,4
seventh,1
bearing,1
dinn,2
altered,1
entirely,5
fulcrum,2
snowed,1
boldly,1
just,126
beware,2
settling,1
pudding,15
wish,40
against,14
reached,4
variations,1
crowds,1
millennium,2
carpenter,12
within,4
puppy,6
animals,5
give,26
prove,1
belong,3
swim,5
divides,1
elbows,2
messengers,4
hide,2
without,45
cloths,1
candles,3
fireworks,1
little,245
row,5
four,20
sums,3
rescued,1
subjects,2
awhile,1
hold,25
jump,1
rain,3
sour,1
flashed,1
heap,5
pursuing,1
yellow,2
cut,15
opportunity,10
decidedly,7
completed,1
kindly,7
scrubbing,1
sent,10
making,13
allow,3
carrying,3
burn,2
dust,3
remarkable,2
eating,4
ferrets,2
shed,3
jubjub,1
took,58
bounded,1
mustard,3
directed,2
count,2
stooping,2
important,8
clothes,2
since,4
handed,5
forgotten,6
raving,2
bringing,3
taste,3
supposing,1
brandishing,1
passionate,1
quadrille,4
dahlia,1
tureen,3
covers,2
bark,2
huge,1
branch,5
verbs,2
umbrella,7
jam,8
spread,8
frowning,6
shining,6
tulgey,1
hesitating,1
dreadfully,8
cinders,3
ugh,2
darkness,1
they've,1
law,2
pennyworth,2
twinkle,8
trays,1
distracted,1
rough,1
tolling,1
flour,1
drummed,1
carelessly,2
neighbour,1
lap,6
fountains,2
oddest,1
brightly,1
obeyed,1
nine,10
sentenced,1
form,1
shovel,1
several,13
pushed,2
[like,1
ships,1
streaming,1
tongues,1
dismay,3
wild,3
lefthand,2
_i_,20
knights,2
you're,23
water,16
sorrowful,2
wont,11
pigeon,13
can,104
done,32
refreshing,1
looking,96
softly,3
spectacles,4
might,51
eh,1
saucepan,2
everything's,2
saddle,7
daughter,2
paper,8
forest,5
lines,1
proposal,1
alphabet,1
fainted,1
toilet,1
attitudes,3
tonight,1
sea,18
doll,2
sun,8
finds,1
seaside,1
wonder,33
afternoon,3
certain,10
please,36
cleared,2
adjectives,1
trailing,1
less,5
faint,5
crashed,1
airs,1
repeating,7
atom,2
shame,1
soles,2
heres,4
crossly,1
badly,2
meeting,1
closed,2
pitied,1
grammar,1
locks,2
meekly,2
month,2
twelfth,1
thered,1
rill,1
tails,3
proper,5
sixpence,1
intend,1
dormouse,39
hippopotamus,2
longer,5
stamping,2
glaring,1
immediately,5
loves,2
sure,45
adventures,8
difficult,4
looks,1
dazzled,1
exclaimed,14
continued,12
take,50
i'll,31
lodging,1
beyond,4
made,52
bud,1
curled,4
plates,4
terribly,1
assure,2
stay,9
sceptre,1
kittens,4
soup,23
months,3
he'd,1
longitude,2
case,8
frosts,1
l,2
scolding,1
rapidly,2
looked,100
brought,7
longing,1
poky,1
fainting,1
maybe,3
better,45
stigand,1
help,38
dipping,1
who's,2
that,592
shelves,3
sail,1
order,5
hung,7
filled,4
afterwards,15
marched,1
alas,4
crying,5
wore,1
onward,1
pop,1
wringing,2
beseech,1
tiger,12
shading,2
diamonds,1
humming,1
couples,1
pegs,3
slices,2
station,1
ten,9
humbly,2
viii,2
furrows,1
meat,2
doesn't,16
copper,1
hopes,2
timidly,17
____,1
furious,1
bone,4
dash,1
entangled,3
fastened,3
coffee,1
proboscis,1
daisies,5
plaintive,1
tarts,7
meanwhile,3
immense,1
shrieked,1
governess,2
marked,13
kisses,1
kneel,1
determined,3
keeping,6
kissing,1
amusement,2
beautifully,3
refused,1
crouched,1
somehow,8
creatures,15
reminding,1
slowly,16
bough,2
seaography,1
purple,1
character,1
growled,4
egg,9
falling,8
muddle,1
fastness,3
madly,1
tin,1
folded,4
play,12
mad,15
rich,2
saves,3
thorns,1
stiff,3
said,935
es,1
helping,1
enquired,1
dum,2
flimsy,1
nibbling,3
paris,2
mattered,1
languid,1
ninety,3
awe,1
nervously,3
slates,7
severely,5
seen,27
prettiest,1
wriggling,2
recovered,5
do,203
wildly,7
invitation,2
end,34
practice,8
usual,11
screamed,6
boy,6
games,1
fill,5
whoever,1
handwriting,1
beginning,30
faintly,1
gradually,1
winter,4
going,50
moment,72
bed,5
belt,4
corrected,3
guests,8
sides,5
comparison,1
askance,1
ridiculous,5
cushion,2
oysters,10
beard,2
girl,7
calmly,1
spreading,2
aloud,10
relief,2
ate,4
unfortunate,3
didn't,14
grew,4
turtle's,2
brave,2
nicely,4
printed,1
extras,1
listened,3
furiously,1
grow,13
shouldn't,5
woman,2
tangles,1
insolence,1
left,24
doubtful,3
thanks,2
thistle,2
sternly,1
snappishly,1
chess,2
papers,1
write,9
logic,1
right,51
trickling,1
longed,2
beautify,1
dodo,13
addressing,4
crocodile,1
sheep,22
nearly,21
eaten,2
rolands,1
kissed,1
bewildered,1
observe,2
knave,9
cover,2
marmalade,1
keep,31
catching,6
they're,13
river,2
verdict,4
teach,1
distraction,1
tillie,1
mind,27
apple,1
able,7
frumious,1
worked,1
seated,3
plain,1
willing,2
hour,4
signifies,1
o,8
threw,3
sticky,1
scolded,1
est,1
eight,2
kitten,22
forty,1
dead,8
answer,31
beauti,1
snowdrop,2
ix,2
leant,3
woods,3
swallowed,2
come,95
unwisely,1
reasonable,2
edwin,2
twig,2
rubbing,5
collected,2
second,7
quilt,1
itll,11
permitted,1
cart,1
[band,1
tell,66
nearer,6
jurymen,4
william's,1
triumphant,1
gunpowder,1
peeped,3
grave,4
modern,1
height,5
makes,19
larkspur,1
growls,1
yet,42
tiny,6
respectfully,1
silvery,2
canterbury,1
can't,28
bad,5
larger,11
criticised,1
glad,21
breathless,1
treat,4
lass,1
fro,1
soothing,5
he'll,1
softer,1
swam,5
gyre,5
jury,22
bells,1
butter,16
stepped,1
go,109
leading,1
multiplication,1
sunny,2
rest,18
inches,9
kiss,3
sup,1
extraordinary,4
reeds,1
oclock,2
speed,2
sound],1
yonder,2
demurely,1
galloped,1
leaned,1
snore,2
twelve,4
lla,1
barley,1
pool,11
both,33
bore,1
capering,1
dough,1
miserable,4
telegraph,1
wind,8
enjoy,1
nonsense,14
foot,13
helmet,10
hours,9
saucepans,1
sigh,9
oldest,1
your,133
treading,2
mice,8
often,12
lying,16
banquet,1
drift,1
where's,2
tie,1
dog,6
pun,1
old,45
crawled,2
interrupting,2
unwillingly,1
mallets,1
bit,27
mercia,2
joint,3
squeaking,3
toothache,1
i'd,11
have,178
cutting,2
enemy,2
glory,3
twigs,1
inquisitively,1
darted,1
cheated,1
new,17
bite,4
boughs,1
lullaby,2
straightening,1
bandersnatch,3
taught,6
intently,1
despair,3
brooks,2
bread,22
belonging,1
the,3238
advisable,2
sight,17
gravely,9
argue,2
overcome,1
sneezes,2
gravel,1
perhaps,24
schoolboys,1
blasts,2
ann,4
ni,1
farthing,1
heard,41
danger,2
feverish,1
stopping,3
currants,1
head,112
quiver,1
indignantly,7
grunt,1
that'll,1
pinch,2
lamps,1
hatching,1
gate,5
whether,23
machines,1
sizes,1
inkstand,1
clearer,1
rustled,1
rearing,1
outside,6
seeing,2
dreamed,3
wishing,1
sharp,9
pleased,13
zealand,1
hearth,5
d,1
trampled,1
bustled,1
grazed,1
youve,25
brother's,1
autumn,3
crab,7
ever,43
callay,1
passengers,1
frog,9
doth,3
single,2
elephants,2
enormous,5
vulgar,1
isn't,7
horses,11
bursting,1
she'd,2
narrow,4
each,29
pan,1
drives,1
faced,1
comfits,2
complaining,2
annoyed,2
rider,2
if,252
toss,2
teapot,1
succeed,2
full,19
vinegar,2
ringlets,2
shook,21
contradicted,1
visitor,1
normans,1
speak,31
warning,1
suddenly,34
bar,2
thatched,1
notion,4
inwards,1
whispers,1
bring,7
forgot,5
puffing,1
trough,1
rats,1
fan,12
promised,3
feathers,2
hair,27
couldnt,37
things,82
produced,1
drums,2
except,5
week,7
blacking,1
fifteenth,1
mournful,1
already,9
gathered,1
quivering,1
meal,1
fork,2
punishment,1
dictionary,1
himself,21
earth,4
skirt,1
moon,2
rushed,2
appearing,1
their,80
knee,7
upright,3
horn,2
spoke,35
tales,1
sorted,1
thence,1
wise,3
trying,24
bargains,1
hadn't,8
cry,11
snoring,5
explained,7
dignified,1
ada,1
golden,9
officers,4
all,374
tumbling,4
nay,1
orders,1
sign,1
lock,1
teases,1
leaning,3
enjoyed,2
miss,7
favourite,3
sal,1
shall,46
handkerchief,4
mouths,4
fresh,2
answered,9
squares,2
gimlet,1
business,10
blinking,1
phrase,1
taken,8
violently,5
story,8
advise,2
instance,7
lump,2
midst,1
language,3
valley,2
france,1
amazing,1
rust,1
bawled,1
sort,36
appearance,1
transport,1
close,25
scene,1
roared,1
paint,2
snap,3
lightly,1
away,62
mock,56
choose,4
longest,1
speaks,1
mix,1
splashed,1
whatll,1
puff,1
anglo,5
quietly,13
slithy,5
beautiful,20
peace,1
pair,11
camomile,1
something,43
knuckles,1
shiny,1
noisy,1
own,24
paused,1
beak,2
boon,1
powdered,1
kettle,3
fields,2
tuesdays,1
cucumber,2
nervous,8
contented,1
fans,1
proves,2
dear,53
neednt,6
hedgehogs,3
earthquake,2
thats,45
interesting,6
theyll,3
straightened,1
bridge,3
engines,1
content,3
tail,11
undo,1
coats,1
turns,5
gone,19
gaily,1
heavy,8
conduct,1
improve,1
purpose,2
her,520
remember,27
b,1
tongue,5
pence,1
childhood,1
gleam,1
introduce,4
walked,19
whenever,8
canary,1
retire,1
ready,17
eighth,5
twentieth,1
fiercely,1
t,1
im,65
ehh,1
hideous,1
dragged,2
meanings,1
waist,2
yhtils,1
rang,2
pieces,5
choke,1
obediently,2
bill's,4
hunt,1
smaller,3
ravens,1
welcome,3
australia,1
hurting,3
woke,2
saying,29
ou,1
minutes,16
lets,14
angry,10
pulling,1
rapid,1
sticking,4
hills,1
across,13
castles,1
pawns,1
frying,1
sink,1
delight,9
underneath,1
one,250
farmer,1
kill,1
stand,9
abide,1
twas,3
yer,4
don't,61
along,21
shepherd,1
returning,1
cause,6
punching,1
ache,1
hedges,3
eat,21
well,131
constant,2
rule,17
market,1
holly,1
reasons,1
bat,3
duchess's,3
silent,13
merrily,2
friend,6
consider,10
fretful,1
means,13
cheap,1
skim,1
directly,7
lovingly,2
twinkled,1
sobbed,1
last,83
dragon,3
bees,5
m,4
lazy,1
drawl,1
pronounced,2
fear,11
thursdays,1
back,72
toast,1
jogged,1
eats,1
isnt,16
condemn,1
court,18
proud,6
outgrabing,1
sooner,3
model,1
clasping,2
snug,1
tortoise,3
cap,1
courage,4
spoon,2
forwards,4
werent,1
dried,1
sliding,1
merely,2
pointing,7
uglify,1
ladle,1
classics,1
ledge,1
frame,1
